objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Creature Comforts (Kickstarter Edition)","327890","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757730","6.20479","7.79247","2.2","0","3098","thing","Creature Comforts (Kickstarter Edition)","1","5","45","45","45","2022","1,2,3,4","3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Crew: Mission Deep Sea","324856","9","15","0","1","0","0","0","0","0","0","0","3","","","","","","129678581","7.81428","8.06977","2.0451","44","46718","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Crew: The Quest for Planet Nine","284083","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717205","7.62847","7.76764","1.9625","87","89572","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Crokinole","521","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","129995613","7.79217","8.05906","1.223","46","19540","thing","Crokinole","2","4","30","30","30","1876","2,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Cyclades: Legendary Edition","380619","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","132160102","6.66393","8.1494","2.863","955","5058","thing","Cyclades: Legendary Edition","2","6","90","90","60","2024","3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Defrag","376284","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","128472499","5.53345","6.99661","3","15398","393","thing","Defrag","1","2","25","25","15","2024","1","1","10+","","","","","","","standalone","","","","",""
"Dice Miner","310632","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","130716823","6.47664","7.28969","1.6545","1338","5354","thing","Dice Miner","1","4","30","30","20","2021","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Diced Veggies","381356","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","117122954","6.11259","6.9625","1.3784","2536","4138","thing","Diced Veggies","2","4","30","30","30","2023","1,2,3,4","3","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Disney Lorcana: Gateway","423689","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","137059985","5.66235","7.34622","2.2","6945","1589","thing","Disney Lorcana: Gateway","2","2","60","60","30","2024","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Divinus","339598","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","136429896","5.6645","6.71884","2.75","6889","1488","thing","Divinus","2","4","60","60","45","2024","2,3,4","3","10+","","","","","","","standalone","","","","",""
"Dixit","39856","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","109757761","7.07272","7.18821","1.1935","415","104354","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dominion","36218","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109713520","7.47543","7.5971","2.3458","142","127557","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion: Alchemy","66098","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","109713526","6.59034","6.92174","2.4474","0","20948","thing","Dominion: Alchemy","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dominion: Intrigue","40834","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109713517","7.50505","7.68685","2.4117","128","50722","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion: Prosperity","66690","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109719930","7.82764","8.22415","2.4723","0","34559","thing","Dominion: Prosperity","2","4","30","30","30","2010","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dominion: Seaside","51811","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109719936","7.65944","8.01402","2.4912","0","35298","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Don't Break the Ice","4888","7","7","0","0","0","0","0","0","0","0","0","3","","","","","","133482220","5.19787","4.79075","1.125","29348","2490","thing","Don't Break the Ice","2","4","20","20","20","1968","2,3,4","2","3+","No necessary in-game text","","","","","","standalone","","","","",""
"Doomlings","324413","0","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717241","5.9978","6.77502","1.6724","3114","6998","thing","Doomlings","2","6","45","45","20","2022","2,3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dream Home","194880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681461","6.51003","6.85915","1.6582","1264","11932","thing","Dream Home","2","4","30","30","30","2016","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Drop It","244916","9","3","0","0","0","0","0","0","0","0","0","3","","","","","","135007283","6.29136","6.8849","1.0877","1846","4750","thing","Drop It","2","4","30","30","30","2018","2,3,4","2,4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"DropMix","237087","5","0","0","0","0","0","0","0","1","0","0","3","","","","","","109757712","5.95339","6.67699","1.3182","3387","3734","thing","DropMix","1","6","30","30","15","2017","1,2,3,4","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Dune: Imperium","316554","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","130400047","8.22317","8.41471","3.0696","5","73717","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dune: Imperium – Immortality","367466","6","0","0","0","0","0","0","0","0","0","0","3","","","","","","130400051","7.48633","8.55834","3.337","0","17894","thing","Dune: Imperium – Immortality","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Dune: Imperium – Rise of Ix","342031","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","130400048","8.08296","8.80739","3.2139","0","27379","thing","Dune: Imperium – Rise of Ix","1","4","120","120","60","2022","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Dungeons & Dragons: Dungeon Scrawlers – Heroes of Waterdeep","381926","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","117123013","5.52464","6.60179","1","17440","182","thing","Dungeons & Dragons: Dungeon Scrawlers – Heroes of Waterdeep","2","4","15","15","15","2023","2,3,4","4","6+","","","","","","","standalone","","","","",""
"Eclipse: Second Dawn for the Galaxy","246900","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","109713508","7.96651","8.40446","3.6569","18","20976","thing","Eclipse: Second Dawn for the Galaxy","2","6","200","200","60","2020","2,3,4,5,6","4,6","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Eight-Minute Empire: Legends","142326","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995593","6.48563","6.91009","1.9614","1317","8338","thing","Eight-Minute Empire: Legends","2","4","20","20","8","2013","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Emberleaf","426513","9","2","0","0","0","0","0","0","0","0","0","3","","","","","","135007276","6.10969","7.9871","3.0185","2550","1941","thing","Emberleaf","1","5","120","120","90","2025","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Emerald Skulls","421762","5","1","0","0","0","0","0","0","0","0","0","3","","","","","","130137695","5.68049","7.04554","1.9","6527","991","thing","Emerald Skulls","1","6","45","45","30","2025","4,5,6","5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Enchanted Forest","938","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681474","5.61347","5.741","1.2437","8484","7589","thing","Enchanted Forest","2","6","60","60","30","1981","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Everdell: Collector's Edition","319422","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757756","7.00585","8.50439","2.8","0","7010","thing","Everdell: Collector's Edition","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Everdell: Pearlbrook – Collector's Edition","319420","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757754","6.21131","7.87469","2.8","0","4852","thing","Everdell: Pearlbrook – Collector's Edition","1","4","80","80","40","2019","1,2,3,4","3","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"EXIT: The Game – Prison Break","383479","6","1","0","0","0","0","0","0","1","0","0","3","","","","","","129678537","5.57432","6.34285","3.5","10625","680","thing","EXIT: The Game – Prison Break","2","4","120","120","60","2023","2,3,4","2","10+","","","","","","","standalone","","","","",""
"EXIT: The Game – The Hunt Through Amsterdam","376478","8","1","0","0","0","0","0","0","1","0","0","3","","","","","","129030225","5.72783","7.33603","2.375","5630","915","thing","EXIT: The Game – The Hunt Through Amsterdam","1","4","90","90","45","2023","1,2,3","2","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Expeditions","379078","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","117123048","7.09243","7.64021","3.0518","396","14920","thing","Expeditions","1","5","90","90","60","2023","1,2,3","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Expeditions: Gears of Corruption","421689","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138517","6.27509","8.35037","3.2632","0","4418","thing","Expeditions: Gears of Corruption","1","6","90","90","60","2024","1,2,3,4","3","12+","","","","","","","expansion","","","","",""
"Factory Funner","183284","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757723","6.26473","7.14229","2.4146","1932","4208","thing","Factory Funner","1","6","40","40","20","2016","1,2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Farting Frenchies","320456","1","0","0","0","0","0","0","0","1","0","0","3","","","","","","122999195","5.49022","5.18769","2","26614","274","thing","Farting Frenchies","2","12","45","45","15","2020","2,3,4","2","6–12","","","","","","","standalone","","","","",""
"Fit to Print","352574","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","122998885","6.59238","7.32106","2.0946","1092","8733","thing","Fit to Print","1","6","30","30","15","2023","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Flash Point: Fire Rescue","100901","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720143","6.97297","7.14829","2.1969","517","40226","thing","Flash Point: Fire Rescue","2","6","45","45","45","2011","1,2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Flash Point: Fire Rescue – Extreme Danger","139766","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720150","6.31632","7.6943","2.3043","0","8036","thing","Flash Point: Fire Rescue – Extreme Danger","2","6","45","45","45","2013","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Fliptown","352418","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","135007279","6.62654","7.74776","2.4194","1022","5635","thing","Fliptown","1","4","45","45","30","2023","1,2,3,4","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Floriferous","322622","9","2","0","1","0","0","0","0","0","0","0","3","","","","","","109720490","6.51985","7.42953","1.6933","1240","5991","thing","Floriferous","1","4","30","30","20","2021","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Floristry","417518","7","8","0","1","0","0","0","0","0","0","0","3","","","","","","132529443","5.64729","7.29494","1.25","7321","705","thing","Floristry","2","2","20","20","15","2025","2","2","8+","","","","","","","standalone","","","","",""
"Food Chain Magnate: Special Edition","175914","9","1","0","0","0","0","0","0","0","1","0","3","","","","","","128729808","7.77669","8.03918","4.1905","49","27087","thing","Food Chain Magnate","2","5","240","240","120","2024","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Lucky Duck Games; Splotter Spellen","English","2024","English edition"
"For Science!","280834","10","8","0","0","0","0","0","0","0","0","0","3","","","","","","133482243","5.85881","7.12363","2.4375","4093","1228","thing","For Science!","1","6","30","30","30","2021","1,2,3,4,5,6","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Forbidden Desert","136063","6","0","0","1","1","0","0","0","0","0","0","3","","","","","","109720171","6.91787","7.06448","2.0398","589","57550","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Forbidden Island","65244","5","0","0","1","1","0","0","0","0","0","0","3","","","","","","109757630","6.6441","6.75229","1.7382","997","98379","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Forest Shuffle","391163","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","128517439","7.41693","7.72742","2.2047","162","30964","thing","Forest Shuffle","2","5","60","60","40","2023","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Forest Shuffle: Alpine","412576","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","130488538","6.90557","8.20694","2.0882","0","11812","thing","Forest Shuffle: Alpine","2","5","60","60","60","2024","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Forest Shuffle: Woodland Edge","424129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130488544","6.62352","8.13249","2","0","9700","thing","Forest Shuffle: Woodland Edge","2","5","60","60","60","2024","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Formaggio","430533","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","130282653","0","8.19444","2","0","182","thing","Formaggio","1","4","45","45","30","2026","1,2,3,4","2,3,4","12","","","","","","","standalone","","","","",""
"The Fox in the Forest","221965","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717168","6.86356","7.06585","1.6025","656","37228","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Fox in the Forest Duet","288169","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717170","6.43714","6.97688","1.7614","1450","10081","thing","The Fox in the Forest Duet","2","2","30","30","30","2020","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Fromage","384213","9","10","0","1","0","0","0","0","0","0","0","3","","","","","","128472507","6.90096","7.67418","2.3826","609","6518","thing","Fromage","1","4","45","45","30","2024","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Frosthaven","295770","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109746822","7.96298","8.76435","4.4044","19","22794","thing","Frosthaven","1","4","180","180","90","2022","1,2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Frosthaven: Solo Scenarios","306151","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122999066","5.72782","8.55411","4","0","4079","thing","Frosthaven: Solo Scenarios","1","1","0","0","0","2022","1","1","14+","","","","","","","expansion","","","","",""
"Galactic Cruise","391137","10","7","0","0","0","0","0","0","0","1","0","3","","","","","","131364558","7.26749","8.41843","3.9471","248","7122","thing","Galactic Cruise","1","4","150","150","90","2025","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Galactic Cruise: Accommodations","414976","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","136591528","5.6972","8.36131","4.25","0","2879","thing","Galactic Cruise: Accommodations","1","4","150","150","90","2025","2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Galactic Cruise: Achievements","443379","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","136591522","0","8.83333","0","0","141","thing","Galactic Cruise: Achievements","1","4","150","150","90","2026","","","","","","","","","","expansion","","","","",""
"Galactic Cruise: Advancements","414974","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","136591526","5.68687","8.234","3.8571","0","2818","thing","Galactic Cruise: Advancements","1","4","150","150","90","2025","2,3,4","2,3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Galaxy Trucker","31481","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","109720128","7.19098","7.32789","2.3292","308","39620","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Game of Thrones","6472","8","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945456","6.80411","7.16556","3.4488","734","10471","thing","A Game of Thrones","3","5","180","180","180","2003","4,5","5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Game of Thrones: A Storm of Swords Expansion","19400","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945476","6.23635","7.77399","3.5532","0","2543","thing","A Game of Thrones: A Storm of Swords Expansion","3","4","180","180","120","2006","4","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720039","7.30691","7.53022","3.7364","228","51554","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons","257496","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109720044","6.73812","8.36599","3.8621","0","8075","thing","A Game of Thrones: The Board Game (Second Edition) – Mother of Dragons","3","8","240","240","120","2018","4,5,6,7,8","6","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"The Gang","411567","8","16","0","1","0","0","0","0","0","0","0","3","","","","","","129995620","6.95883","7.58022","1.5556","539","10372","thing","The Gang","3","6","20","20","20","2024","4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Gaslands: Refuelled","274428","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","117123054","6.18911","8.22732","2.6923","2227","2423","thing","Gaslands: Refuelled","2","8","90","90","45","2019","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Genius Square","273065","5","62","0","1","0","0","0","0","0","0","0","3","","","","","","133002888","5.69247","6.73424","1","6253","1380","thing","Genius Square","1","2","30","30","5","2018","1,2","2","5+","No necessary in-game text","","","","","","standalone","","The Happy Puzzle Company","English; French; German; Italian; Spanish","2018","Happy Puzzle multilingual edition"
"The Genius Star","329812","7","23","0","1","0","0","0","0","0","0","0","3","","","","","","133574889","5.5987","7.15455","1.6667","9162","551","thing","Genius Star","1","2","0","0","0","2020","1,2","2","","No necessary in-game text","","","","","","standalone","","The Happy Puzzle Company","Dutch; English; French; German; Italian; Spanish","2020","Multilingual edition"
"A Gentle Rain","334011","7","4","0","0","0","0","0","0","0","0","0","3","","","","","","129995589","6.52429","7.63844","1.122","1230","7148","thing","A Gentle Rain","1","1","15","15","15","2021","1","1","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Ghosts of Christmas","281619","5","1","0","1","0","0","0","0","0","0","0","3","","","","","","109717223","6.10603","7.09252","2.3182","2566","3854","thing","Ghosts of Christmas","3","4","40","40","40","2019","3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Giants Moving Tiny Furniture","452411","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","135932934","0","6.66667","0","0","29","thing","Giants Moving Tiny Furniture","3","8","10","10","10","2025","","","","","","","","","","standalone","","","","",""
"Gloomhaven","174430","8","0","0","1","1","0","0","0","0","0","0","3","","","","","","109720160","8.3147","8.55307","3.9133","4","102470","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Gloomhaven: Buttons & Bugs","393672","7","5","0","1","0","0","0","0","0","0","0","3","","","","","","119531419","6.63893","7.54388","3.2913","1008","14045","thing","Gloomhaven: Buttons & Bugs","1","1","20","20","20","2024","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Gloomhaven: Jaws of the Lion","291457","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757616","8.11184","8.37654","3.6331","12","84923","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Gnomes at Night","205766","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681464","5.60835","6.51027","1","8706","932","thing","Gnomes at Night","2","4","15","15","15","2016","2","2","6–12","No necessary in-game text","","","","","","standalone","","","","",""
"Go","188","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","133482236","7.30977","7.65957","3.9117","224","25872","thing","Go","2","2","180","180","30","-2200","2","2","6+","No necessary in-game text","","","","","","standalone","","","","",""
"GPS","305984","4","0","0","1","1","0","0","0","0","0","0","3","","","","","","109717279","5.43377","5.24732","1.0714","29007","2717","thing","GPS","2","5","10","10","10","2020","2,3,4,5","3,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"El Grande Decennial Edition","147170","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","131018567","6.37728","8.32548","2.9487","0","1859","thing","El Grande Decennial Edition","2","5","90","90","90","2006","3,4,5","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Grimm Forest","212402","6","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995563","6.57542","7.06473","1.9357","1130","12215","thing","The Grimm Forest","2","4","60","60","45","2018","3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Grove: 9 card solitaire game","329873","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130405738","6.58793","7.53259","1.3103","1106","6870","thing","Grove: 9 card solitaire game","1","1","10","10","5","2021","1","1","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Guards of Atlantis II","267609","9","1","0","0","0","0","0","0","0","0","0","3","","","","","","129995780","6.68235","8.40205","3.3443","920","2737","thing","Guards of Atlantis II","4","10","120","120","90","2022","4,6,8,10","4,6","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Guess Who?","4143","4","7","0","1","0","0","0","0","0","0","0","3","","","","","","130024386","4.95056","4.85","1.0911","29379","13419","thing","Guess Who?","2","2","20","20","20","2013","2","2","4–12","No necessary in-game text","","","","","","standalone","","Hasbro","English","2013","English edition 2013"
"Guillotine","116","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","109717434","6.39194","6.54038","1.2696","1565","34024","thing","Guillotine","2","5","30","30","30","1998","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Hallertau","300322","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130138549","7.21294","7.83436","3.2943","289","11606","thing","Hallertau","1","4","140","140","50","2020","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Hanabi","98778","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","109757626","6.925","7.03146","1.6911","582","87964","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Hanami","450860","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","136591533","0","6.625","0","0","56","thing","Hanami","2","4","60","60","30","2026","","","","","","","","","","standalone","","","","",""
"Hansa Teutonica: Big Box","286749","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","117122961","7.63477","8.37711","2.956","0","15060","thing","Hansa Teutonica: Big Box","3","5","90","90","45","2020","3,4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Happy Salmon","194626","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","137872000","6.32963","6.65837","1.0625","1732","15840","thing","Happy Salmon","3","8","2","2","2","2016","4,5,6,7,8","5,6","5+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Harmonies","414317","10","8","0","1","0","0","0","0","0","0","0","3","","","","","","123666288","7.70068","8.0254","2.0188","69","36608","thing","Harmonies","1","4","45","45","30","2024","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Le Havre","35677","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","131945442","7.66287","7.83666","3.7092","77","39189","thing","Le Havre","1","5","150","150","30","2008","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Hearts","6887","7","1","0","0","0","0","0","0","0","0","0","3","","","","","","129787318","6.18997","6.53289","1.7422","2220","2676","thing","Hearts","3","7","30","30","30","1850","4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Heat: Heavy Rain","410291","8","0","0","0","0","0","0","0","0","0","0","3","","","","","","130137692","6.74314","8.09275","2.359","0","13180","thing","Heat: Heavy Rain","1","7","60","0","60","2024","1,2,3,4,5,6,7","5,6","10+","No necessary in-game text","","","","","","expansion","","","","",""
"Heat: Pedal to the Metal","366013","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","130137693","7.79431","8.01005","2.2044","45","52565","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Hedbanz for Adults!","1855","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133681416","5.43206","5.36861","1.0833","29024","3244","thing","Hedbanz for Adults!","3","10","60","60","60","1991","2,3,4,5,6,7,8","4,5,6","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Hegemony: Lead Your Class to Victory","321608","8","1","0","0","0","0","0","0","0","0","0","3","","","","","","136102827","7.81563","8.40783","4.235","42","17002","thing","Hegemony: Lead Your Class to Victory","2","4","180","180","90","2023","2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Hero Realms","198994","6","2","0","0","0","0","0","0","0","0","0","3","","","","","","129995790","7.20319","7.50033","1.8473","294","33568","thing","Hero Realms","2","4","20","20","20","2016","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Hoot Owl Hoot!","94483","6","0","0","0","0","0","0","0","1","0","0","3","","","","","","133682663","5.70507","6.40222","1.05","6013","2119","thing","Hoot Owl Hoot!","2","4","15","15","15","2010","2,3,4","2,3","3–8","No necessary in-game text","","","","","","standalone","","","","",""
